sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-06;2022-06;2021-08;2022-07;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2023-05
 Halı ;KIRKLARELI;0;0;0;0;0.97379;0;0;0;0;0;0;0;4.051;0;0;0;0;0;0;0;0;0;3.37304;0;2.20184;0;0;0.21276;0;0;0;0;0;0;0;0;0;0;0;0.00003;0.1419;0;0;0.675;0;0;0.41864;0
 Hazırgiyim ve Konfeksiyon ;KIRKLARELI;150.18161;139.64581;1003.02873;777.15492;169.93497;17.01448;21.62635;285.25858;73.50474;31.88552;0;75.74583;162.35969;356.30224;354.58457;718.70731;308.39292;108.21119;307.82132;189.10082;41.21962;216.9766;129.34255;101.60329;129.51272;4.30231;328.89807;194.32129;28.8821;104.67218;958.97587;236.75181;981.41742;1399.67196;1202.66066;1295.57929;1171.7781;2244.26997;1453.57474;1359.00934;1952.36345;958.97587;781.18761;2674.68594;894.14407;994.38257;1290.00764;1072.96794
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;KIRKLARELI;3345.55734;2799.80199;4342.58705;4347.91256;4365.81815;3707.41994;4459.98046;4262.25893;3358.60664;4741.26422;3990.44375;3792.4827;4870.27231;4340.5496;4333.2644;5161.15831;4882.071;4457.50876;5570.07004;4719.5677;5139.71324;5471.27355;5643.18198;4900.49699;5013.11614;4652.69036;4691.0219;3208.79503;4837.52496;3429.03963;4084.12527;3558.57018;3058.79109;5003.57719;5481.94123;3393.0569;5048.00785;6512.87876;5295.3513;3446.69452;5353.2711;4084.12527;5033.17653;7160.98004;5270.55781;5669.48705;6874.58675;8596.59152
 İklimlendirme Sanayii;KIRKLARELI;52.70357;20.09768;3.67705;27.17488;33.82211;14.95633;25.26301;11.99578;57.20942;56.85096;61.71704;7.40129;59.4295;68.32702;5.43765;133.90359;131.86445;93.40104;47.1794;76.86687;102.89295;86.13509;153.75163;9.17031;12.73855;6.51288;109.74592;32.57149;26.93249;22.24371;10.16992;27.40035;76.70085;5.12769;61.61638;71.55771;43.88932;117.89271;25.02901;39.30432;51.2323;10.16992;40.59756;43.12108;15.08969;15.07269;58.2234;77.10218
 Kimyevi Maddeler ve Mamulleri  ;KIRKLARELI;65.82172;31.31873;202.61374;61.60188;63.82255;93.26143;109.32525;0.56311;163.4912;59.71405;63.96928;53.38304;70.69228;391.77105;189.6831;107.06273;258.46799;24.33298;86.49179;44.26676;242.06527;233.62558;144.8276;114.84839;75.09402;49.03005;198.73576;263.48724;191.56134;248.14964;232.2401;65.08824;78.86042;65.09507;260.78978;222.25993;199.17848;472.65727;125.2973;281.91448;135.68176;232.2401;246.19347;36.11479;243.40442;653.27967;215.25386;230.44675
 Kuru Meyve ve Mamulleri  ;KIRKLARELI;9.14824;0;0;7.78699;0;0;8.76426;0;0;8.68715;8.22633;8.18514;0;0;8.0869;0;0;0;7.96204;0;8.03651;0;0;0;7.79008;0;8.15316;0;0;6.53678;0;0;8.87938;0;6.19025;0;0;7.71556;0;0;0;0;0;8.15417;0;0;7.91091;0
 Madencilik Ürünleri;KIRKLARELI;0;0;0.08147;0;1.61721;0;0.41305;0;4.91856;54.89622;2.24932;2.29211;25.21546;2.25241;1.0577;2.43645;5.40645;5.1136;1.42155;1.83184;0;5.08927;0;0;0.98599;0;0.07831;3.45386;6.2303;1.0962;42.60223;11.86354;15.83696;0.40146;34.96654;32.11306;4.36306;10.63237;9.41279;26.31194;24.66186;42.60223;56.9456;37.99251;93.53453;17.43783;23.69439;43.71056
 Makine ve Aksamları;KIRKLARELI;253.6685;225.05247;315.60907;408.02056;535.91979;251.54567;277.14887;221.6321;667.00046;576.11012;389.82266;510.32271;565.55019;283.25831;243.76021;677.93446;559.57485;722.90518;415.71195;237.96877;377.52116;499.38169;417.03942;353.08387;498.83101;910.31368;448.28282;414.5963;347.20836;292.28841;363.20816;424.10464;256.04131;383.12809;727.13267;654.25987;590.15757;850.79802;414.81674;333.05272;377.72083;363.20816;590.73434;290.52253;394.4569;370.16123;508.89752;274.84723
 Meyve Sebze Mamulleri ;KIRKLARELI;5.51148;0;6.61617;49.39993;93.86004;67.602;74.64564;0;79.98534;31.2;19.42625;0;112.45568;179.69746;222.77297;88.91836;3.20039;1.93384;65.52125;57.3474;97.26775;72.99323;160.43422;164.82648;130.81126;123.02331;243.15686;96.8684;186.8679;115.72334;61.30993;134.5421;136.11598;281.21405;215.58252;214.67539;136.85097;126.53353;56.88041;0;68.99336;61.30993;27.10868;8.81741;51.62118;27.73067;57.61141;75.25188
 Otomotiv Endüstrisi;KIRKLARELI;42.8974;38.99876;68.23669;74.11193;99.68634;73.01284;93.71307;118.65913;62.50488;76.60318;146.32723;56.2347;633.11092;102.53299;89.35501;86.81438;176.35027;51.20877;51.91281;62.44735;68.33193;106.78992;35.30993;40.71261;70.30658;136.98998;65.67948;57.50107;22.99783;64.023;32.65321;71.86743;33.72805;41.66713;136.34549;124.47714;44.10095;98.33695;40.1007;142.36122;52.21841;32.65321;51.84602;36.76162;62.23244;202.11094;82.11942;87.5058
