sector;province;2019-01-01;2019-03-01;2019-05-01;2019-07-01;2019-08-01;2019-10-01;2019-12-01;2020-01-01;2020-02-01;2020-03-01;2020-04-01;2020-05-01;2020-06-01;2020-07-01;2020-08-01;2020-09-01;2020-10-01;2020-11-01;2020-12-01;2021-01-01;2021-02-01;2021-03-01;2021-04-01;2021-05-01;2021-06-01;2021-07-01;2021-08-01;2021-09-01;2021-10-01;2021-11-01;2021-12-01;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01
 Hazırgiyim ve Konfeksiyon ;MUĞLA;139.75138;608.61775;66.46764;12.293;477.97082;545.70399;254.85695;184.72909;264.24632;1080.51229;28.75244;22.16738;0.333;8.12222;369.70421;1233.23346;794.7235;403.00583;511.19534;3769.87396;4190.38;3378.77929;2878.34352;7373.35729;12873.91469;14.73828;11.323;155.23786;82.85063;8438.56465;6930.31061;90.0068;117.81973;8306.47291;3797.6495;18417.47076;18955.04692;788.85316;1690.22281;2526.46516;3895.20579;17977.83996;14677.01175;13044.01239;22824.79089
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;MUĞLA;132.09902;58.73697;143.84726;0.48388;507.64182;7.9241;1249.67848;632.79869;7.52877;17.61595;49.72487;119.42339;0;0;462.03728;48.73683;34.15184;231344.3843;250234.2185;5883.1322;4966.76824;12290.107;10058.52806;68.07944;107.6685;1716.07258;2028.08725;1997.37894;2218.42847;22892.50085;19973.61633;3074.12106;4490.89946;13306.87268;11954.6243;1936.66632;4513.21384;0.50348;13000.09727;2233.5722;4900.89936;4291.71692;3107.84264;2807.31047;3180.71618
 İklimlendirme Sanayii;MUĞLA;252.78584;84.98451;4.90958;168.22593;118.4136;99.60702;80.73193;2.28195;41.45064;90.86123;0;0.24957;465.01027;1097.37058;116.22713;71.68684;161.84419;74.8416;141.40955;671.70049;1109.9149;8.42361;1.02038;2027.42535;3214.21524;405.75;1175.032;1244.70023;2863.15218;224.10355;76.73241;1260.74096;2649.16067;0.03916;0.67136;4825.27253;8532.12074;370.37659;595.486;945.11066;440.44927;7099.26908;8212.5489;3544.71102;4826.31102
 Kimyevi Maddeler ve Mamulleri  ;MUĞLA;27.36932;0.27771;6737.75922;0;0;0;54.42323;32.77201;0;22.4815;5119.76037;5348.77204;0;0;36.9908;0;27.63822;2389.9439;1035.02232;1723.92735;2111.07879;4781.12179;4080.75243;3366.344;923.93755;25449.35392;24724.86383;46990.78211;75432.72282;4101.22664;4082.31145;77546.11129;68866.7781;7987.31596;7039.27037;12706.14731;14848.05679;4236.99592;5469.48207;5382.50582;2175.87346;18357.6026;16449.66467;11549.6635;18857.82046
 Kuru Meyve ve Mamulleri  ;MUĞLA;0;5282.51532;1411.71805;0;29895.44433;4678.95562;0;41.14955;4456.19896;6114.52499;750.62223;665.1098;0;0.02392;37438.27933;8312.48731;8774.10337;77.13566;198.64076;2297.04883;2316.87764;5755.17875;10638.02911;39399.72676;61891.51086;651.11113;525.86571;854.98151;985.93726;1614.13902;2171.78528;470.90682;633.65999;25545.13619;20033.07117;3800.47307;3149.08134;74639.34618;94260.39261;89456.97306;99509.70211;3297.37532;3415.1254;2538.87405;4255.07467
 Madencilik Ürünleri;MUĞLA;5192.43387;729.17446;270.44767;40.272;62.19239;101.89513;6504.48246;5615.1111;321.75551;685.69784;432.53752;250.10551;76.10254;93.56386;14.061;216.91814;155.64512;74.05001;2.39247;68118.91171;56996.19038;764.09108;185.23636;504.73065;1154.75568;162738.919;165606.8719;232885.5897;292796.0645;93606.70518;104824.1459;256500.0995;264574.0579;324.78501;1123.50432;8308.52675;10299.93628;2425.83415;2958.7773;2062.44586;3041.44417;7973.31629;4828.95053;5199.70437;5901.90773
 Makine ve Aksamları;MUĞLA;784.82886;298.56678;333.74997;0;26.25408;557.22468;355.56962;535.78251;209.37261;286.54228;212.9234;275.74655;0;0;16.85547;449.68898;465.72121;53.96802;77.08915;284.58207;481.39801;2928.02756;2486.18312;185764.4578;212120.2656;96.0707;65.54021;147.00422;112.13963;592.4797;1062.11234;260.06108;365.89068;4844.26655;4699.31351;3.21448;43.55601;18173.92417;19232.0904;15641.94507;19977.87806;2.04682;3.40263;0.9687;47.6933
 Meyve Sebze Mamulleri ;MUĞLA;317.64217;341.57619;393.13631;20486.7118;1219.34173;448.4418;139.19566;540.70595;393.0206;351.78815;0;0;6566.77755;3398.0763;2089.42674;375.14054;436.45485;16.93105;14.18203;182663.4846;177131.9985;3950.58085;3970.44378;120.34096;21.59359;2146.27334;3444.63882;3170.98328;2330.88386;279605.6217;306296.9846;2906.58469;2169.75066;2416.21406;968.86862;5594.94508;7292.35415;2742.30762;2133.33918;2993.75164;4415.18283;11078.18467;7325.69454;5369.98111;5728.4509
 Mobilya.Kağıt ve Orman Ürünleri;MUĞLA;307.42169;395.41706;869.76237;0;26.80927;1458.58676;253.16238;332.40663;53.3646;0;0;25.59588;0;0;50.01352;0;224.6709;27.13452;355.64105;27.72025;54.52264;52500.08241;38963.77082;4082.10777;3925.7047;51.7906;17.65375;312.13929;822.37345;377.5318;301.46838;293.26412;453.48801;51841.50573;48524.31577;14702.04341;14090.71792;6769.82086;6411.96526;8288.73339;5553.00124;9695.27829;8771.17549;5802.1357;5698.52555
 Mücevher;MUĞLA;357.74688;1334.66946;32531.9863;1525.6108;44169.65848;178.5647;26.45082;1584.80076;2.82553;0.08095;24602.89407;28624.59003;165.46643;945.22612;49712.55063;22.76538;37.98678;4.26586;0;2402.5607;2417.04058;786.18429;934.94062;94.783;194.42134;3.66716;62.46532;0.88035;0.33975;3142.08244;2713.53706;267.24412;338.25196;1262.78263;844.53084;280.99775;85.26815;11070.28275;13972.94923;15719.75487;18136.01905;77.41398;142.91602;112.0279;1475.56218
